customer_name,customer_address,customer_phone,couriers,status,items
Nishu,Address in Manchester,7728909341,John,PREPARING,"1,2,3,4"
Megha,address 1 for Megha,7711909342,Herny,PROCESSING,"2,3"
Zach,address near the city center,7724519390,Polly,PROCESSING,"2,4"
Rachel,Bolton of UK,7735428413,Polly,OUT-FOR-DELIVERY,"1,3,5"
Tom,Not specified,7757640635,John,OUT-FOR-DELIVERY,"11,13"
Apple Jefferson,"Traford Center, Manchester",7729764265,Claire,PREPARING,"1,3,5,13"
Chan Tai Man,North of Manchester,7768731461,Polly,PROCESSING,"12,14"
Alton Disney,Yorkshire North,7743288956,Polly,PREPARING,"6,8,12"
George,Here in Manchester,7723456789,Toby,PREPARING,"6,7,8"
Tina,"Piccadilly Gardens , Manchester, M1 1AF",0771498765,Toby,PREPARING,"6,8,12,14"
Billy,"Piccadilly, Mancherst and, M1",0776675431,Thomson,PREPARING,"2,4,6,8,15"
Selina,Address in London,7789448323,Jennifer,OUT-FOR-DELIVERY,"0,3,4"
Wonderwoman,"Tony stark's office, Avengers Center",0756789485,Herny,PREPARING,"1,3,10"
